agency_name,agency_slug,cfr_citation,parent_agency,active,document_count,query_successful,error_message,last_updated
Administrative Conference of the United States,administrative-conference-of-the-united-states,17 CFR,Administrative Conference of the United States,True,64,True,,2025-08-07T16:17:12.495926
Administrative Office of United States Courts,administrative-office-of-united-states-courts,12 CFR,Administrative Office of United States Courts,True,19,True,,2025-08-07T16:17:12.495954
Advocacy and Outreach Office,advocacy-and-outreach-office,29 CFR,Advocacy and Outreach Office,True,64,True,,2025-08-07T16:17:12.495959
Agency for Healthcare Research and Quality,agency-for-healthcare-research-and-quality,21 CFR,Health and Human Services Department,True,64,True,,2025-08-07T16:17:12.495962
Agency for Toxic Substances and Disease Registry,agency-for-toxic-substances-and-disease-registry,40 CFR,Agency for Toxic Substances and Disease Registry,True,64,True,,2025-08-07T16:17:12.495966
Aging Administration,aging-administration,21 CFR,Aging Administration,True,64,True,,2025-08-07T16:17:12.495969
Agricultural Marketing Service,agricultural-marketing-service,49 CFR,Agricultural Marketing Service,True,64,True,,2025-08-07T16:17:12.495972
Agricultural Research Service,agricultural-research-service,40 CFR,Agricultural Research Service,True,64,True,,2025-08-07T16:17:12.495974
Agriculture Department,agriculture-department,40 CFR,Agriculture Department,True,64,True,,2025-08-07T16:17:12.495976
Air Quality National Commission,air-quality-national-commission,40 CFR,Air Quality National Commission,False,7,True,,2025-08-07T16:17:12.495978
Air Transportation Stabilization Board,air-transportation-stabilization-board,49 CFR,Air Transportation Stabilization Board,True,10,True,,2025-08-07T16:17:12.495981
Alaska Power Administration,alaska-power-administration,10 CFR,Alaska Power Administration,False,31,True,,2025-08-07T16:17:12.495984
Alcohol and Tobacco Tax and Trade Bureau,alcohol-and-tobacco-tax-and-trade-bureau,34 CFR,Alcohol and Tobacco Tax and Trade Bureau,True,64,True,,2025-08-07T16:17:12.495985
"Alcohol, Tobacco, Firearms, and Explosives Bureau",alcohol-tobacco-firearms-and-explosives-bureau,10 CFR,"Alcohol, Tobacco, Firearms, and Explosives Bureau",False,64,True,,2025-08-07T16:17:12.495987
Amtrak Reform Council,amtrak-reform-council,49 CFR,Amtrak Reform Council,False,46,True,,2025-08-07T16:17:12.495989
Animal and Plant Health Inspection Service,animal-and-plant-health-inspection-service,40 CFR,Health and Human Services Department,True,64,True,,2025-08-07T16:17:12.495992
Antitrust Division,antitrust-division,12 CFR,Antitrust Division,True,64,True,,2025-08-07T16:17:12.495994
Appalachian Regional Commission,appalachian-regional-commission,49 CFR,Appalachian Regional Commission,True,13,True,,2025-08-07T16:17:12.495997
Architect of the Capitol,architect-of-the-capitol,10 CFR,Architect of the Capitol,True,7,True,,2025-08-07T16:17:12.495999
Architectural and Transportation Barriers Compliance Board,architectural-and-transportation-barriers-compliance-board,40 CFR,Architectural and Transportation Barriers Compliance Board,True,64,True,,2025-08-07T16:17:12.496001
