agency_name,agency_slug,cfr_citation,parent_agency,active,document_count,query_successful,error_message,last_updated
Administrative Conference of the United States,administrative-conference-of-the-united-states,17 CFR,Administrative Conference of the United States,True,64,True,,2025-08-07T15:17:21.096786
Administrative Office of United States Courts,administrative-office-of-united-states-courts,12 CFR,Administrative Office of United States Courts,True,19,True,,2025-08-07T15:17:21.096820
Advocacy and Outreach Office,advocacy-and-outreach-office,29 CFR,Advocacy and Outreach Office,True,64,True,,2025-08-07T15:17:21.096830
Agency for Healthcare Research and Quality,agency-for-healthcare-research-and-quality,21 CFR,Health and Human Services Department,True,64,True,,2025-08-07T15:17:21.096835
Agency for Toxic Substances and Disease Registry,agency-for-toxic-substances-and-disease-registry,40 CFR,Agency for Toxic Substances and Disease Registry,True,64,True,,2025-08-07T15:17:21.096839
Aging Administration,aging-administration,21 CFR,Aging Administration,True,64,True,,2025-08-07T15:17:21.096844
Agricultural Marketing Service,agricultural-marketing-service,49 CFR,Agricultural Marketing Service,True,64,True,,2025-08-07T15:17:21.096848
Agricultural Research Service,agricultural-research-service,40 CFR,Agricultural Research Service,True,64,True,,2025-08-07T15:17:21.096852
Agriculture Department,agriculture-department,40 CFR,Agriculture Department,True,64,True,,2025-08-07T15:17:21.096856
Air Quality National Commission,air-quality-national-commission,40 CFR,Air Quality National Commission,False,7,True,,2025-08-07T15:17:21.096860
Air Transportation Stabilization Board,air-transportation-stabilization-board,49 CFR,Air Transportation Stabilization Board,True,10,True,,2025-08-07T15:17:21.096864
Alaska Power Administration,alaska-power-administration,10 CFR,Alaska Power Administration,False,31,True,,2025-08-07T15:17:21.096868
Alcohol and Tobacco Tax and Trade Bureau,alcohol-and-tobacco-tax-and-trade-bureau,34 CFR,Alcohol and Tobacco Tax and Trade Bureau,True,64,True,,2025-08-07T15:17:21.096873
"Alcohol, Tobacco, Firearms, and Explosives Bureau",alcohol-tobacco-firearms-and-explosives-bureau,10 CFR,"Alcohol, Tobacco, Firearms, and Explosives Bureau",False,64,True,,2025-08-07T15:17:21.096876
Amtrak Reform Council,amtrak-reform-council,49 CFR,Amtrak Reform Council,False,46,True,,2025-08-07T15:17:21.096881
Animal and Plant Health Inspection Service,animal-and-plant-health-inspection-service,40 CFR,Health and Human Services Department,True,64,True,,2025-08-07T15:17:21.096885
Antitrust Division,antitrust-division,12 CFR,Antitrust Division,True,64,True,,2025-08-07T15:17:21.096889
Appalachian Regional Commission,appalachian-regional-commission,49 CFR,Appalachian Regional Commission,True,13,True,,2025-08-07T15:17:21.096893
Architect of the Capitol,architect-of-the-capitol,10 CFR,Architect of the Capitol,True,7,True,,2025-08-07T15:17:21.096897
Architectural and Transportation Barriers Compliance Board,architectural-and-transportation-barriers-compliance-board,40 CFR,Architectural and Transportation Barriers Compliance Board,True,64,True,,2025-08-07T15:17:21.096901
Arctic Research Commission,arctic-research-commission,29 CFR,Arctic Research Commission,True,64,True,,2025-08-07T15:17:21.096905
Army Department,army-department,40 CFR,Army Department,True,64,True,,2025-08-07T15:17:21.096909
Barry M. Goldwater Scholarship and Excellence in Education Foundation,barry-m-goldwater-scholarship-and-excellence-in-education-foundation,34 CFR,Barry M. Goldwater Scholarship and Excellence in Education Foundation,False,49,True,,2025-08-07T15:17:21.096913
Benefits Review Board,benefits-review-board,29 CFR,Benefits Review Board,True,22,True,,2025-08-07T15:17:21.096918
Bonneville Power Administration,bonneville-power-administration,17 CFR,Bonneville Power Administration,True,64,True,,2025-08-07T15:17:21.096922
Census Bureau,census-bureau,49 CFR,Census Bureau,True,64,True,,2025-08-07T15:17:21.096926
Centers for Disease Control and Prevention,centers-for-disease-control-and-prevention,21 CFR,Centers for Disease Control and Prevention,True,64,True,,2025-08-07T15:17:21.096930
Centers for Medicare & Medicaid Services,centers-for-medicare-medicaid-services,21 CFR,Centers for Medicare & Medicaid Services,True,64,True,,2025-08-07T15:17:21.096934
Central Intelligence Agency,central-intelligence-agency,10 CFR,Central Intelligence Agency,True,64,True,,2025-08-07T15:17:21.096938
Chemical Safety and Hazard Investigation Board,chemical-safety-and-hazard-investigation-board,40 CFR,Chemical Safety and Hazard Investigation Board,True,64,True,,2025-08-07T15:17:21.096942
Children and Families Administration,children-and-families-administration,21 CFR,Children and Families Administration,True,64,True,,2025-08-07T15:17:21.096946
Civil Rights Commission,civil-rights-commission,29 CFR,Civil Rights Commission,True,64,True,,2025-08-07T15:17:21.096950
Coast Guard,coast-guard,49 CFR,Coast Guard,True,64,True,,2025-08-07T15:17:21.096954
Commerce Department,commerce-department,40 CFR,Commerce Department,True,64,True,,2025-08-07T15:17:21.096958
Commercial Space Transportation Office,commercial-space-transportation-office,14 CFR,Commercial Space Transportation Office,True,34,True,,2025-08-07T15:17:21.096962
Commission on Immigration Reform,commission-on-immigration-reform,29 CFR,Commission on Immigration Reform,False,52,True,,2025-08-07T15:17:21.096966
Committee for Purchase From People Who Are Blind or Severely Disabled,committee-for-purchase-from-people-who-are-blind-or-severely-disabled,10 CFR,Committee for Purchase From People Who Are Blind or Severely Disabled,True,64,True,,2025-08-07T15:17:21.096970
Committee for the Implementation of Textile Agreements,committee-for-the-implementation-of-textile-agreements,29 CFR,Committee for the Implementation of Textile Agreements,True,64,True,,2025-08-07T15:17:21.096974
Commodity Credit Corporation,commodity-credit-corporation,21 CFR,Commodity Credit Corporation,False,64,True,,2025-08-07T15:17:21.096977
Commodity Futures Trading Commission,commodity-futures-trading-commission,12 CFR,Commodity Futures Trading Commission,True,64,True,,2025-08-07T15:17:21.096980
Community Development Financial Institutions Fund,community-development-financial-institutions-fund,12 CFR,Community Development Financial Institutions Fund,True,64,True,,2025-08-07T15:17:21.096984
Community Living Administration,community-living-administration,21 CFR,Community Living Administration,True,64,True,,2025-08-07T15:17:21.096989
Competitiveness Policy Council,competitiveness-policy-council,17 CFR,Competitiveness Policy Council,False,19,True,,2025-08-07T15:17:21.096992
Comptroller of the Currency,comptroller-of-the-currency,12 CFR,Comptroller of the Currency,True,64,True,,2025-08-07T15:17:21.096996
Consumer Financial Protection Bureau,consumer-financial-protection-bureau,12 CFR,Consumer Financial Protection Bureau,True,64,True,,2025-08-07T15:17:21.096999
